,sigma1_nocrev_clean,sigma2_nocrev_clean
663,2306.077777777813,-243853.8373870983
664,34879.80343794731,-225709.9958121907
665,28257.825814685086,-231447.8936193636
666,24519.47380818233,-233619.9268883483
667,52449.85739970041,-216097.73722953637
668,163358.17477687373,29607.787324022473
669,151657.2806627729,31033.333902567494
670,174103.47203574906,40091.57787203936
671,170086.67322006208,44305.87874985381
672,163881.28064896853,45415.92111042735
673,156828.51101984037,44696.49060695962
674,149314.33705882088,42543.84534437906
675,141119.93439856055,37987.62512786743
676,134676.7748987325,31994.47157326842
677,34853.42918304264,-199705.42235271103
678,176405.95037436392,58834.092456520724
679,169513.85262982943,59701.69271386053
680,161862.82905120958,58949.78030050359
681,153567.62640354154,56806.0137344876
682,144836.9549002301,52816.41824345583
683,137532.8072281866,46444.40129661836
684,132563.3386889093,37188.652474691786
685,130648.6383441799,21847.617856719437
686,49943.46274643608,-190115.84705038992
687,39426.8555615285,-202631.05997953014
688,28741.781268900435,-214505.59246886655
689,-10038.392277966486,-249502.51180040103
690,7091.343780457537,-163059.87738081938
691,2635.8146630500123,-174843.05196118046
692,181970.38551445294,73097.58320438492
693,174682.35802946414,73942.08187695777
694,166555.8838937272,73390.02223509311
695,157666.47102973124,71605.0231128844
696,148274.35952177376,68219.75806441763
697,140360.56099364266,61985.679563330006
698,135301.55170556845,52058.23593028576
699,132941.85885072226,41204.97921193554
700,133179.2697906657,33181.115914026435
701,136398.0585710432,30102.97838485025
702,140989.93607819534,30346.24156144853
703,146298.06648100764,33055.69448634508
704,55106.93665684515,-191081.99628228293
705,45050.67606428117,-203401.79011654665
706,-26174.108601861182,-170118.52092243318
707,-28463.602254867248,-181972.53086925676
708,-27088.721924697034,-190206.31756902748
709,-22016.89103216135,-194350.3120053768
710,186723.2718060664,87049.83611030929
711,179258.05792065605,88051.66156139539
712,170749.0656560333,87743.31434233347
713,161351.20595813147,86324.55313454266
714,151328.09338700914,83450.58442024214
715,143047.07335993453,77683.10254316908
